lat,lon
7.214799999999999613e+01,2.555300000000000082e+01
7.214900000000000091e+01,2.555699999999999861e+01
7.215099999999999625e+01,2.556599999999999895e+01
7.215200000000000102e+01,2.557100000000000151e+01
7.215399999999999636e+01,2.557900000000000063e+01
7.215600000000000591e+01,2.558800000000000097e+01
7.215699999999999648e+01,2.559199999999999875e+01
7.215800000000000125e+01,2.559600000000000009e+01
7.215900000000000603e+01,2.560099999999999909e+01
7.215999999999999659e+01,2.560500000000000043e+01
7.216100000000000136e+01,2.560900000000000176e+01
7.216200000000000614e+01,2.561400000000000077e+01
7.216400000000000148e+01,2.562199999999999989e+01
7.216500000000000625e+01,2.562699999999999889e+01
7.216599999999999682e+01,2.563100000000000023e+01
7.216700000000000159e+01,2.563500000000000156e+01
7.216800000000000637e+01,2.564000000000000057e+01
7.216899999999999693e+01,2.564399999999999835e+01
7.217000000000000171e+01,2.564799999999999969e+01
7.217100000000000648e+01,2.565299999999999869e+01
7.217199999999999704e+01,2.565700000000000003e+01
7.217300000000000182e+01,2.566100000000000136e+01
7.217400000000000659e+01,2.566600000000000037e+01
7.217499999999999716e+01,2.567000000000000171e+01
7.217600000000000193e+01,2.567500000000000071e+01
7.217799999999999727e+01,2.568299999999999983e+01
7.217900000000000205e+01,2.568799999999999883e+01
7.218000000000000682e+01,2.569200000000000017e+01
7.218099999999999739e+01,2.569600000000000151e+01
7.218200000000000216e+01,2.570100000000000051e+01
7.218399999999999750e+01,2.570899999999999963e+01
7.218500000000000227e+01,2.571399999999999864e+01
7.218600000000000705e+01,2.571799999999999997e+01
7.218699999999999761e+01,2.572200000000000131e+01
7.218800000000000239e+01,2.572700000000000031e+01
7.218899999999999295e+01,2.573100000000000165e+01
7.218999999999999773e+01,2.573499999999999943e+01
7.219199999999999307e+01,2.574399999999999977e+01
7.219299999999999784e+01,2.574800000000000111e+01
7.219499999999999318e+01,2.575700000000000145e+01
7.219799999999999329e+01,2.576999999999999957e+01
7.220000000000000284e+01,2.577899999999999991e+01
7.220099999999999341e+01,2.578300000000000125e+01
7.220199999999999818e+01,2.578699999999999903e+01
7.220300000000000296e+01,2.579200000000000159e+01
7.220399999999999352e+01,2.579599999999999937e+01
7.220499999999999829e+01,2.580099999999999838e+01
7.220600000000000307e+01,2.580499999999999972e+01
7.220699999999999363e+01,2.580900000000000105e+01
7.220900000000000318e+01,2.581800000000000139e+01
7.220999999999999375e+01,2.582199999999999918e+01
7.221099999999999852e+01,2.582700000000000173e+01
7.221299999999999386e+01,2.583500000000000085e+01
7.221500000000000341e+01,2.584400000000000119e+01
7.221699999999999875e+01,2.585300000000000153e+01
7.221899999999999409e+01,2.586100000000000065e+01
7.221999999999999886e+01,2.586599999999999966e+01
7.222199999999999420e+01,2.587500000000000000e+01
7.222299999999999898e+01,2.587900000000000134e+01
7.222400000000000375e+01,2.588299999999999912e+01
7.222700000000000387e+01,2.589600000000000080e+01
7.222899999999999920e+01,2.590500000000000114e+01
7.223099999999999454e+01,2.591400000000000148e+01
7.223300000000000409e+01,2.592299999999999827e+01
7.223399999999999466e+01,2.592699999999999960e+01
7.223499999999999943e+01,2.593100000000000094e+01
7.223600000000000421e+01,2.593599999999999994e+01
7.223699999999999477e+01,2.594000000000000128e+01
7.223799999999999955e+01,2.594399999999999906e+01
7.223999999999999488e+01,2.595299999999999940e+01
7.224099999999999966e+01,2.595700000000000074e+01
7.224299999999999500e+01,2.596600000000000108e+01
7.224399999999999977e+01,2.596999999999999886e+01
7.224599999999999511e+01,2.597899999999999920e+01
7.224699999999999989e+01,2.598300000000000054e+01
7.224800000000000466e+01,2.598799999999999955e+01
7.224899999999999523e+01,2.599200000000000088e+01
7.225000000000000000e+01,2.599599999999999866e+01
7.225199999999999534e+01,2.600499999999999901e+01
7.225400000000000489e+01,2.601399999999999935e+01
7.225600000000000023e+01,2.602299999999999969e+01
7.225799999999999557e+01,2.603099999999999881e+01
7.225900000000000034e+01,2.603500000000000014e+01
7.226000000000000512e+01,2.603999999999999915e+01
7.226099999999999568e+01,2.604400000000000048e+01
7.226300000000000523e+01,2.605300000000000082e+01
7.226399999999999579e+01,2.605699999999999861e+01
7.226600000000000534e+01,2.606599999999999895e+01
7.226699999999999591e+01,2.607000000000000028e+01
7.226900000000000546e+01,2.607900000000000063e+01
7.227100000000000080e+01,2.608800000000000097e+01
7.227299999999999613e+01,2.609700000000000131e+01
7.227400000000000091e+01,2.610099999999999909e+01
7.227599999999999625e+01,2.610999999999999943e+01
7.227800000000000580e+01,2.611899999999999977e+01
7.227899999999999636e+01,2.612300000000000111e+01
7.228000000000000114e+01,2.612699999999999889e+01
7.228199999999999648e+01,2.613599999999999923e+01
7.228400000000000603e+01,2.614499999999999957e+01
7.228499999999999659e+01,2.614900000000000091e+01
7.228600000000000136e+01,2.615299999999999869e+01
7.228700000000000614e+01,2.615800000000000125e+01
7.228799999999999670e+01,2.616199999999999903e+01
7.229000000000000625e+01,2.617099999999999937e+01
7.229200000000000159e+01,2.617999999999999972e+01
7.229399999999999693e+01,2.618900000000000006e+01
7.229500000000000171e+01,2.619300000000000139e+01
7.229600000000000648e+01,2.619699999999999918e+01
7.229800000000000182e+01,2.620599999999999952e+01
7.229999999999999716e+01,2.621499999999999986e+01
7.230100000000000193e+01,2.621900000000000119e+01
7.230299999999999727e+01,2.622800000000000153e+01
7.230500000000000682e+01,2.623699999999999832e+01
7.230599999999999739e+01,2.624099999999999966e+01
7.230800000000000693e+01,2.625000000000000000e+01
