lat,lon,thick,dist,cumdist
7.813243599999999844e+01,3.233493599999999901e+01,1.864900000000000002e+00,5.078983244065799596e+00,1.895053250972140859e+03
7.806939900000000421e+01,3.240342700000000065e+01,1.408500000000000085e+00,7.183135871361185032e+00,1.902236386843502032e+03
7.810793999999999926e+01,3.252218200000000081e+01,1.700099999999999945e+00,5.078802126256094063e+00,1.907315188969758083e+03
7.814643200000000434e+01,3.264171499999999781e+01,1.864900000000000002e+00,5.079105518825032917e+00,1.912394294488583228e+03
7.818487500000000523e+01,3.276203100000000035e+01,1.864900000000000002e+00,5.079436572361983870e+00,1.917473731060945283e+03
7.812172900000000197e+01,3.282854199999999878e+01,1.408500000000000085e+00,7.183791050666807898e+00,1.924657522111612025e+03
7.816008999999999673e+01,3.294921500000000236e+01,1.393899999999999917e+00,5.079251126945185213e+00,1.929736773238557134e+03
7.819840100000000405e+01,3.307067800000000091e+01,1.393899999999999917e+00,5.079592374991728221e+00,1.934816365613548896e+03
7.970752799999999638e+01,3.461411300000000324e+01,-1.436000000000000054e-01,1.709844364951426314e+02,2.105800802108691641e+03
7.964381600000000105e+01,3.467904599999999959e+01,-1.436000000000000054e-01,7.201658695907018348e+00,2.113002460804598741e+03
7.961769200000000524e+01,3.488795999999999964e+01,-1.436000000000000054e-01,5.091247620674653085e+00,2.118093708425273235e+03
7.965522199999999486e+01,3.503379600000000238e+01,-1.436000000000000054e-01,5.091670268310334535e+00,2.123185378693583516e+03
7.962886500000000467e+01,3.524203700000000339e+01,-1.228999999999999954e-01,5.091379692757471709e+00,2.128276758386341044e+03
7.934689099999999939e+01,3.568156400000000161e+01,-5.554999999999999938e-01,3.259707609189385380e+01,2.160873834478235040e+03
7.887266300000000285e+01,3.625383800000000178e+01,3.311000000000000054e-01,5.408421553310166274e+01,2.214958050011336582e+03
7.884555400000000702e+01,3.644444200000000222e+01,4.189999999999999974e-02,5.084983215131803291e+00,2.220043033226468197e+03
7.881832400000000405e+01,3.663411399999999674e+01,4.189999999999999974e-02,5.084762808502757636e+00,2.225127796034970743e+03
7.879097400000000562e+01,3.682285699999999906e+01,3.311000000000000054e-01,5.084540590500830959e+00,2.230212336625471380e+03
7.876350499999999499e+01,3.701067299999999705e+01,-1.179999999999999973e-02,5.084297894853885502e+00,2.235296634520325370e+03
7.873591799999999807e+01,3.719756600000000191e+01,1.456900000000000084e+00,5.084067980588927504e+00,2.240380702500914140e+03
7.864411800000000596e+01,3.742705099999999874e+01,1.426900000000000057e+00,1.136841617775170832e+01,2.251749118678666036e+03
7.861627300000000673e+01,3.761095000000000255e+01,1.426900000000000057e+00,5.083070111341789321e+00,2.256832188790007876e+03
7.858831299999999942e+01,3.779394299999999873e+01,1.426900000000000057e+00,5.082838784182375669e+00,2.261915027574190390e+03
7.849607399999999302e+01,3.801565999999999690e+01,1.572999999999999954e+00,1.136573582619021039e+01,2.273280763400380692e+03
7.840368200000000343e+01,3.823382500000000306e+01,8.035999999999999810e-01,1.136386896810537905e+01,2.284644632368485873e+03
7.837534200000000340e+01,3.841192900000000066e+01,2.626000000000000001e-01,5.081007726243005784e+00,2.289725640094728988e+03
7.841111800000000187e+01,3.855324499999999688e+01,1.572999999999999954e+00,5.081367158056387723e+00,2.294807007252785297e+03
7.838257900000000689e+01,3.873067499999999797e+01,1.572999999999999954e+00,5.081036868872010892e+00,2.299888044121657458e+03
7.835393100000000288e+01,3.890722800000000348e+01,1.092600000000000016e+00,5.080807588432175947e+00,2.304968851710089439e+03
7.838945800000000474e+01,3.904981099999999827e+01,1.572999999999999954e+00,5.081148548363751516e+00,2.310050000258453110e+03
7.836061200000000326e+01,3.922567399999999793e+01,1.301099999999999923e+00,5.080873037747404730e+00,2.315130873296200662e+03
7.839597899999999697e+01,3.936931700000000234e+01,9.255999999999999783e-01,5.081203102561170581e+00,2.320212076398761837e+03
7.836693599999999549e+01,3.954447799999999802e+01,-2.999999999999999889e-01,5.080923250786668177e+00,2.325292999649548619e+03
7.833778599999999415e+01,3.971875899999999859e+01,-3.950000000000000178e-01,5.080737038318243748e+00,2.330373736687866767e+03
7.830853199999999958e+01,3.989216400000000107e+01,-5.527999999999999581e-01,5.080405348386529241e+00,2.335454142036253415e+03
7.827917300000000012e+01,4.006469599999999787e+01,-1.228299999999999947e+00,5.080194091709954840e+00,2.340534336127963343e+03
7.831410700000000702e+01,4.020986899999999764e+01,-3.950000000000000178e-01,5.080454420046190300e+00,2.345614790548009751e+03
7.828455499999999745e+01,4.038167800000000085e+01,-1.228299999999999947e+00,5.080194242507439562e+00,2.350694984790517083e+03
7.825490000000000634e+01,4.055261500000000296e+01,-1.228299999999999947e+00,5.079962636246008856e+00,2.355774947426762992e+03
7.828957900000000336e+01,4.069894399999999735e+01,-1.228299999999999947e+00,5.080137953043784904e+00,2.360855085379806951e+03
7.832418499999999995e+01,4.084614700000000198e+01,-5.527999999999999581e-01,5.080544259790451100e+00,2.365935629639597209e+03
7.829424699999999859e+01,4.101647400000000232e+01,-1.228299999999999947e+00,5.080343446441313304e+00,2.371015973086038684e+03
7.832868700000000217e+01,4.116468100000000163e+01,-1.228299999999999947e+00,5.080572586397355650e+00,2.376096545672436150e+03
7.836305099999999868e+01,4.131376999999999811e+01,-1.228299999999999947e+00,5.080870625309461985e+00,2.381177416297745822e+03
7.846185099999999579e+01,4.144381899999999774e+01,-1.228299999999999947e+00,1.136355677954549748e+01,2.392540973077291255e+03
7.885659699999999361e+01,4.198721199999999953e+01,7.792000000000000037e-01,4.547300052878389209e+01,2.438013973606075069e+03
7.889055299999999704e+01,4.214597499999999997e+01,7.792000000000000037e-01,5.085446301848087991e+00,2.443099419907923220e+03
7.898904600000000187e+01,4.228979700000000008e+01,7.792000000000000037e-01,1.137351312204194009e+01,2.454472933029965134e+03
7.908748400000000345e+01,4.243623000000000189e+01,9.190000000000000391e-01,1.137527519109243634e+01,2.465848208221057575e+03
7.918586600000000431e+01,4.258534300000000172e+01,1.593699999999999894e+00,1.137713327847236400e+01,2.477225341499529804e+03
7.928418899999999780e+01,4.273720999999999748e+01,1.682299999999999907e+00,1.137889572986920328e+01,2.488604237229399132e+03
7.931776100000000440e+01,4.290474700000000041e+01,1.691599999999999993e+00,5.088898537118779153e+00,2.493693135766518026e+03
7.928654799999999625e+01,4.308504899999999793e+01,1.276899999999999924e+00,5.088852379712145435e+00,2.498781988146230105e+03
7.931992999999999938e+01,4.325371799999999922e+01,1.276899999999999924e+00,5.088881315365036073e+00,2.503870869461595248e+03
7.935322100000000489e+01,4.342345000000000255e+01,1.691599999999999993e+00,5.089149074811314399e+00,2.508960018536406551e+03
7.938642099999999857e+01,4.359425099999999986e+01,1.254999999999999893e+00,5.089472623620274305e+00,2.514049491160026719e+03
7.941952700000000220e+01,4.376612800000000192e+01,9.711999999999999522e-01,5.089624829767157799e+00,2.519139115989793936e+03
7.945253999999999905e+01,4.393908799999999815e+01,8.184000000000000163e-01,5.089928470549011763e+00,2.524229044460343175e+03
7.935599200000000053e+01,4.412398600000000215e+01,9.562000000000000499e-01,1.138182250026725484e+01,2.535610866960610565e+03
7.925934999999999775e+01,4.430554000000000059e+01,7.931000000000000272e-01,1.138014032257948749e+01,2.546991007283189902e+03
7.893640399999999602e+01,4.466297000000000139e+01,2.162000000000000033e-01,3.668810204615465409e+01,2.583679109329344556e+03
7.883951799999999821e+01,4.483295700000000039e+01,-2.690000000000000169e-01,1.137246218580243706e+01,2.595051571515146861e+03
7.887190699999999310e+01,4.500000000000000000e+01,2.162000000000000033e-01,5.085194874562193768e+00,2.600136766389709010e+03
7.883951799999999821e+01,4.516704299999999961e+01,2.162000000000000033e-01,5.085194874562193768e+00,2.605221961264271158e+03
7.880703800000000570e+01,4.533311100000000238e+01,2.162000000000000033e-01,5.084829432572136376e+00,2.610306790696843109e+03
7.877446600000000387e+01,4.549821200000000232e+01,-2.690000000000000169e-01,5.084642051481346847e+00,2.615391432748324405e+03
7.880647399999999436e+01,4.566620000000000346e+01,1.023300000000000098e+00,5.084603501333133657e+00,2.620476036249657682e+03
7.870905199999999979e+01,4.582553000000000054e+01,1.891499999999999959e+00,1.137014245564825110e+01,2.631846178705306102e+03
7.867621200000000670e+01,4.598776000000000153e+01,1.891499999999999959e+00,5.083764223789613013e+00,2.636929942929095887e+03
7.870793399999999451e+01,4.615566599999999653e+01,1.650500000000000078e+00,5.083720851906571525e+00,2.642013663781002379e+03
7.867491200000000617e+01,4.631691200000000208e+01,1.650500000000000078e+00,5.083716841701718003e+00,2.647097380622703895e+03
7.864180199999999843e+01,4.647721399999999647e+01,1.891499999999999959e+00,5.083545102862641052e+00,2.652180925725566340e+03
7.867324000000000694e+01,4.664597700000000202e+01,1.650500000000000078e+00,5.083441324898532621e+00,2.657264367050464898e+03
7.863994999999999891e+01,4.680528699999999986e+01,1.891499999999999959e+00,5.083534183445148180e+00,2.662347901233909852e+03
7.867119700000000648e+01,4.697493399999999752e+01,1.650500000000000078e+00,5.083411948725380824e+00,2.667431313182635222e+03
7.863772799999999563e+01,4.713324000000000069e+01,1.022000000000000020e+00,5.083501406436132797e+00,2.672514814589071193e+03
7.866878300000000479e+01,4.730375999999999692e+01,1.891499999999999959e+00,5.083390575586685500e+00,2.677598205164657884e+03
7.869973899999999389e+01,4.747522200000000225e+01,1.891499999999999959e+00,5.083635005884308278e+00,2.682681840170542273e+03
7.873059600000000557e+01,4.764762999999999948e+01,1.891499999999999959e+00,5.083930274342531419e+00,2.687765770444884765e+03
7.882594899999999427e+01,4.783741100000000301e+01,9.462000000000000410e-01,1.137029151416215633e+01,2.699136061959046856e+03
7.885659699999999361e+01,4.801278800000000047e+01,1.584000000000000130e-01,5.084953850524910557e+00,2.704221015809571782e+03
7.882255999999999574e+01,4.817057799999999901e+01,-5.756000000000000005e-01,5.085008845106258946e+00,2.709306024654677913e+03
7.885300999999999760e+01,4.834681900000000354e+01,-5.756000000000000005e-01,5.084952476007241984e+00,2.714390977130685314e+03
7.894792099999999380e+01,4.854476600000000275e+01,1.584000000000000130e-01,1.137250536923377098e+01,2.725763482499919064e+03
7.904271500000000117e+01,4.874616199999999822e+01,-2.510000000000000078e-02,1.137445286465788286e+01,2.737137935364577061e+03
7.907282899999999870e+01,4.892757699999999943e+01,-2.132000000000000006e-01,5.086715535861621618e+00,2.742224650900438519e+03
7.903829600000000255e+01,4.908561699999999917e+01,4.107999999999999985e-01,5.086879415348724010e+00,2.747311530315787422e+03
7.906820500000000607e+01,4.926789300000000082e+01,-7.130000000000000226e-02,5.086661471340073071e+00,2.752398191787127416e+03
7.903349500000000205e+01,4.942478400000000249e+01,-3.696999999999999731e-01,5.086840061826612747e+00,2.757485031848953895e+03
7.906319899999999734e+01,4.960790899999999937e+01,4.107999999999999985e-01,5.086706039817777913e+00,2.762571737888771622e+03
7.876500400000000468e+01,4.998411500000000274e+01,1.866000000000000103e+00,3.411926319638578065e+01,2.796691001085157495e+03
7.866553500000000554e+01,5.010508999999999702e+01,1.866000000000000103e+00,1.136936476826887699e+01,2.808060365853426447e+03
7.863041800000000592e+01,5.025380299999999778e+01,1.010599999999999943e+00,5.083516917810783298e+00,2.813143882771237259e+03
7.859522699999999418e+01,5.040159200000000084e+01,1.010599999999999943e+00,5.083234794515935739e+00,2.818227117565753360e+03
7.855996399999999369e+01,5.054846599999999768e+01,1.010599999999999943e+00,5.082875109997032403e+00,2.823309992675750436e+03
7.852462800000000698e+01,5.069443100000000157e+01,6.199000000000000066e-01,5.082652894578337133e+00,2.828392645570328568e+03
7.855353100000000666e+01,5.087262799999999885e+01,1.010599999999999943e+00,5.082329132396321114e+00,2.833474974702724921e+03
7.851803200000000516e+01,5.101750299999999783e+01,1.010599999999999943e+00,5.082611855667959588e+00,2.838557586558392813e+03
7.854673400000000072e+01,5.119641299999999973e+01,1.010599999999999943e+00,5.082245824502325426e+00,2.843639832382895293e+03
7.851107399999999359e+01,5.134019200000000183e+01,6.199000000000000066e-01,5.082521796232644107e+00,2.848722354179128160e+03
7.853957499999999925e+01,5.151980199999999854e+01,1.010599999999999943e+00,5.082210811814305451e+00,2.853804564990942254e+03
7.856796400000000347e+01,5.170031099999999924e+01,6.623999999999999888e-01,5.082381782671230752e+00,2.858886946773613545e+03
7.859624200000000371e+01,5.188172399999999840e+01,6.269000000000000128e-01,5.082711706952024677e+00,2.863969658480565613e+03
7.856023999999999319e+01,5.202396600000000149e+01,-1.165999999999999953e-01,5.082940134622714545e+00,2.869052598615188344e+03
7.852416999999999803e+01,5.216530900000000059e+01,-5.887000000000000011e-01,5.082682722876488590e+00,2.874135281338064942e+03
7.855215300000000411e+01,5.234716999999999842e+01,2.431000000000000105e-01,5.082277193580434727e+00,2.879217558531645409e+03
7.858002199999999959e+01,5.252992700000000070e+01,4.304000000000000048e-01,5.082520321753790427e+00,2.884300078853399100e+03
7.854370500000000277e+01,5.266990499999999997e+01,7.789000000000000368e-01,5.082817984914546727e+00,2.889382896838313627e+03
7.857136800000000676e+01,5.285331299999999999e+01,7.789000000000000368e-01,5.082373928611280789e+00,2.894465270766924732e+03
7.853489600000000337e+01,5.299215099999999978e+01,7.789000000000000368e-01,5.082726344773861094e+00,2.899547997111698805e+03
7.856235399999999913e+01,5.317619700000000194e+01,7.789000000000000368e-01,5.082345004676234623e+00,2.904630342116375232e+03
7.858969500000000608e+01,5.336113199999999779e+01,7.789000000000000368e-01,5.082540054731795820e+00,2.909712882171107140e+03
7.861691899999999578e+01,5.354695999999999856e+01,1.368999999999999939e-01,5.082816655921779336e+00,2.914795698827028900e+03
7.864402499999999918e+01,5.373368200000000172e+01,1.037700000000000067e+00,5.083056241371012973e+00,2.919878755068400096e+03
7.867101099999999292e+01,5.392130199999999718e+01,1.366300000000000070e+00,5.083247609051313454e+00,2.924962002677451437e+03
7.863402600000000575e+01,5.405788799999999839e+01,1.693500000000000005e+00,5.083598114625820230e+00,2.930045600792077039e+03
7.866080300000000136e+01,5.424611300000000114e+01,1.534100000000000019e+00,5.083210328459606409e+00,2.935128811120536739e+03
7.868745800000000656e+01,5.443523199999999918e+01,1.534100000000000019e+00,5.083359773641921819e+00,2.940212170894178598e+03
7.871399200000000462e+01,5.462524799999999914e+01,1.534100000000000019e+00,5.083643691251594987e+00,2.945295814585429980e+03
7.874040200000000311e+01,5.481616300000000308e+01,1.534100000000000019e+00,5.083787031353368846e+00,2.950379601616783475e+03
7.883037600000000111e+01,5.506599099999999680e+01,2.250999999999999890e+00,1.137021359236622331e+01,2.961749815209149801e+03
7.879285199999999634e+01,5.520069900000000018e+01,2.212800000000000100e+00,5.084965354452223529e+00,2.966834780563602180e+03
7.861636500000000183e+01,5.553918399999999878e+01,2.282200000000000006e+00,2.096336293097395398e+01,2.987798143494575925e+03
7.864217299999999966e+01,5.573055699999999746e+01,2.282200000000000006e+00,5.083002096259947145e+00,2.992881145590835786e+03
7.860435999999999979e+01,5.586081500000000233e+01,2.282200000000000006e+00,5.083485200908381074e+00,2.997964630791744185e+03
7.856649199999999666e+01,5.599020500000000311e+01,2.282200000000000006e+00,5.083091259760655234e+00,3.003047722051504934e+03
7.859199999999999875e+01,5.618175399999999797e+01,2.282200000000000006e+00,5.082556989424478644e+00,3.008130279040929508e+03
7.855398999999999887e+01,5.630993200000000343e+01,2.282200000000000006e+00,5.083008013117948032e+00,3.013213287054047669e+03
7.861738099999999463e+01,5.637416499999999786e+01,2.282200000000000006e+00,7.189084279748147566e+00,3.020402371333795600e+03
7.857928499999999872e+01,5.650198499999999768e+01,2.282200000000000006e+00,5.083183945624686118e+00,3.025485555279420169e+03
7.854113499999999704e+01,5.662894800000000117e+01,2.282200000000000006e+00,5.082877158874117285e+00,3.030568432438294167e+03
7.860445300000000657e+01,5.669489300000000043e+01,2.282200000000000006e+00,7.188962653656061796e+00,3.037757395091950002e+03
7.856621599999999717e+01,5.682148800000000222e+01,2.282200000000000006e+00,5.083175874719340293e+00,3.042840570966669475e+03
7.862949299999999653e+01,5.688865799999999950e+01,2.282200000000000006e+00,7.189345031968904287e+00,3.050029915998638444e+03
7.859117000000000530e+01,5.701487900000000053e+01,2.282200000000000006e+00,5.083402994357473226e+00,3.055113318992996028e+03
7.865440399999999954e+01,5.708328199999999697e+01,2.282200000000000006e+00,7.189607131101141135e+00,3.062302926124097212e+03
7.861599499999999807e+01,5.720911999999999864e+01,2.282200000000000006e+00,5.083616738021119019e+00,3.067386542862118404e+03
7.867918500000000392e+01,5.727876499999999993e+01,2.282200000000000006e+00,7.189863453814345995e+00,3.074576406315932672e+03
7.864069100000000390e+01,5.740421299999999860e+01,2.282200000000000006e+00,5.083748800925489419e+00,3.079660155116858277e+03
7.870383599999999547e+01,5.747511000000000081e+01,2.282200000000000006e+00,7.190119820036232845e+00,3.086850274936894493e+03
7.962561300000000131e+01,5.842580900000000099e+01,1.529000000000000081e-01,1.044022188507939859e+02,3.191252493787688309e+03
7.948455699999999524e+01,5.860610299999999739e+01,1.614100000000000090e+00,1.610027642814433690e+01,3.207352770215832606e+03
